;;Total number of projects;Maximum number of projects in a client country;;Maximum number of projects in a provider country;;;;;;
;;785030;49195;;155501;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Client Country;Provider Country;Number collaborations;Sum number of projects in client country;Percent of maxiumum number of projects in a client country;Sum number of projects in provider country;Percentage of maximum number of projects in client country;Maximum number of collaboration between the client country and a provider country;Percentage of maxium collaborations for client country;Maximum number of collaboration between the provider country and a client country;Percentage of maxium collaborations for client country;
Saudi Arabia;Jordan;6;1460;3;864;0,56;275;2,18;438;1,37;
Saudi Arabia;Kuwait;1;1460;3;45;0,03;275;0,36;15;6,67;
Saudi Arabia;Lithuania;2;1460;3;1867;1,2;275;0,73;958;0,21;
Saudi Arabia;Malaysia;5;1460;3;3160;2,03;275;1,82;1760;0,28;
Saudi Arabia;Mexico;6;1460;3;3465;2,23;275;2,18;1732;0,35;
Saudi Arabia;Moldova;10;1460;3;3146;2,02;275;3,64;1541;0,65;
Saudi Arabia;Morocco;2;1460;3;1112;0,72;275;0,73;517;0,39;
Saudi Arabia;Nepal;4;1460;3;1861;1,2;275;1,45;1018;0,39;
Saudi Arabia;Netherlands;6;1460;3;3487;2,24;275;2,18;1579;0,38;
Saudi Arabia;New Zealand;1;1460;3;1482;0,95;275;0,36;827;0,12;
Saudi Arabia;Norway;1;1460;3;779;0,5;275;0,36;348;0,29;
Saudi Arabia;Oman;1;1460;3;306;0,2;275;0,36;125;0,8;
Saudi Arabia;Pakistan;201;1460;3;72899;46,88;275;73,09;36757;0,55;
Saudi Arabia;Palestine;1;1460;3;206;0,13;275;0,36;104;0,96;
Saudi Arabia;Philippines;8;1460;3;13478;8,67;275;2,91;7059;0,11;
Saudi Arabia;Poland;9;1460;3;7145;4,59;275;3,27;3520;0,26;
Saudi Arabia;Portugal;5;1460;3;2963;1,91;275;1,82;1682;0,3;
Saudi Arabia;Romania;176;1460;3;92390;59,41;275;64;48482;0,36;
Saudi Arabia;Russian Federation;58;1460;3;28357;18,24;275;21,09;218;26,61;
Saudi Arabia;Saudi Arabia;1;1460;3;645;0,41;275;0,36;275;0,36;
Saudi Arabia;Serbia;14;1460;3;10957;7,05;275;5,09;5747;0,24;
Saudi Arabia;Serbia + Montenegro (old);4;1460;3;699;0,45;275;1,45;393;1,02;
Saudi Arabia;Singapore;2;1460;3;2154;1,39;275;0,73;1182;0,17;
Saudi Arabia;South Africa;2;1460;3;2355;1,51;275;0,73;1027;0,19;
Saudi Arabia;Spain;9;1460;3;4028;2,59;275;3,27;1948;0,46;
Saudi Arabia;Sri Lanka;14;1460;3;6306;4,06;275;5,09;2884;0,49;
Saudi Arabia;Sweden;6;1460;3;3060;1,97;275;2,18;1468;0,41;
Saudi Arabia;Switzerland;5;1460;3;736;0,47;275;1,82;333;1,5;
Saudi Arabia;Syrian Arab Republic;11;1460;3;360;0,23;275;4;137;8,03;
Saudi Arabia;Thailand;5;1460;3;1454;0,94;275;1,82;717;0,7;
Saudi Arabia;Tunisia;12;1460;3;1968;1,27;275;4,36;825;1,45;
Saudi Arabia;Turkey;7;1460;3;4827;3,1;275;2,55;2421;0,29;
Saudi Arabia;Uganda;1;1460;3;40;0,03;275;0,36;26;3,85;
Saudi Arabia;Ukraine;52;1460;3;27775;17,86;275;18,91;13875;0,37;
Saudi Arabia;United Arab Emirates;5;1460;3;2335;1,5;275;1,82;1226;0,41;
Saudi Arabia;United Kingdom;41;1460;3;29927;19,25;275;14,91;14558;0,28;
Saudi Arabia;United States;134;1460;3;105420;67,79;275;48,73;64074;0,21;
Saudi Arabia;Uruguay;3;1460;3;1500;0,96;275;1,09;923;0,33;
Saudi Arabia;Vietnam;14;1460;3;9827;6,32;275;5,09;4529;0,31;
Senegal;Sri Lanka;1;1;0;6306;4,06;1;100;2884;0,03;
Serbia + Montenegro (old);Canada;2;10;0;25485;16,39;2;100;14440;0,01;
Serbia + Montenegro (old);Ecuador;1;10;0;790;0,51;2;50;459;0,22;
Serbia + Montenegro (old);Pakistan;1;10;0;72899;46,88;2;50;36757;0;
Serbia + Montenegro (old);Romania;2;10;0;92390;59,41;2;100;48482;0;
Serbia + Montenegro (old);Serbia;1;10;0;10957;7,05;2;50;5747;0,02;
Serbia + Montenegro (old);Serbia + Montenegro (old);1;10;0;699;0,45;2;50;393;0,25;
Serbia + Montenegro (old);Ukraine;1;10;0;27775;17,86;2;50;13875;0,01;
Serbia + Montenegro (old);United States;1;10;0;105420;67,79;2;50;64074;0;
Serbia;Argentina;14;442;0,9;12720;8,18;68;20,59;6839;0,2;
Serbia;Armenia;1;442;0,9;1985;1,28;68;1,47;1066;0,09;
Serbia;Australia;2;442;0,9;9761;6,28;68;2,94;5051;0,04;
Serbia;Bangladesh;11;442;0,9;17468;11,23;68;16,18;8416;0,13;
Serbia;Belarus ;5;442;0,9;3044;1,96;68;7,35;24;20,83;
Serbia;Bosnia and Herzegowina;1;442;0,9;1563;1,01;68;1,47;82;1,22;
Serbia;Brazil;2;442;0,9;4834;3,11;68;2,94;2612;0,08;
Serbia;Bulgaria;1;442;0,9;9387;6,04;68;1,47;4695;0,02;
Serbia;Canada;10;442;0,9;25485;16,39;68;14,71;14440;0,07;
Serbia;China;7;442;0,9;7801;5,02;68;10,29;3871;0,18;
Serbia;Croatia;2;442;0,9;2778;1,79;68;2,94;1364;0,15;
Serbia;Egypt;8;442;0,9;17182;11,05;68;11,76;8809;0,09;
Serbia;France;1;442;0,9;3513;2,26;68;1,47;1601;0,06;
Serbia;Germany ;6;442;0,9;7974;5,13;68;8,82;3700;0,16;
Serbia;India;68;442;0,9;155501;100;68;100;80388;0,08;
Serbia;Indonesia;4;442;0,9;7742;4,98;68;5,88;4116;0,1;
Serbia;Korea;2;442;0,9;127;0,08;68;2,94;59;3,39;
Serbia;Latvia;2;442;0,9;655;0,42;68;2,94;255;0,78;
Serbia;Lithuania;1;442;0,9;1867;1,2;68;1,47;958;0,1;
Serbia;Moldova;1;442;0,9;3146;2,02;68;1,47;1541;0,06;
Serbia;Nepal;1;442;0,9;1861;1,2;68;1,47;1018;0,1;
Serbia;New Zealand;1;442;0,9;1482;0,95;68;1,47;827;0,12;
Serbia;Pakistan;45;442;0,9;72899;46,88;68;66,18;36757;0,12;
Serbia;Peru;7;442;0,9;919;0,59;68;10,29;498;1,41;
Serbia;Philippines;5;442;0,9;13478;8,67;68;7,35;7059;0,07;
Serbia;Poland;1;442;0,9;7145;4,59;68;1,47;3520;0,03;
Serbia;Romania;41;442;0,9;92390;59,41;68;60,29;48482;0,08;
Serbia;Russian Federation;24;442;0,9;28357;18,24;68;35,29;14718;0,16;
Serbia;Serbia;44;442;0,9;10957;7,05;68;64,71;5747;0,77;
Serbia;Serbia + Montenegro (old);3;442;0,9;699;0,45;68;4,41;393;0,76;
Serbia;Seychelles;1;442;0,9;4;0;68;1,47;1;100;
Serbia;Singapore;3;442;0,9;2154;1,39;68;4,41;1182;0,25;
Serbia;South Africa;1;442;0,9;2355;1,51;68;1,47;1027;0,1;
Serbia;Spain;1;442;0,9;4028;2,59;68;1,47;1948;0,05;
Serbia;Sri Lanka;7;442;0,9;6306;4,06;68;10,29;2884;0,24;
Serbia;Switzerland;3;442;0,9;736;0,47;68;4,41;333;0,9;
Serbia;Syrian Arab Republic;1;442;0,9;360;0,23;68;1,47;137;0,73;
Serbia;Thailand;5;442;0,9;1454;0,94;68;7,35;717;0,7;
Serbia;Turkey;7;442;0,9;4827;3,1;68;10,29;746;0,94;
Serbia;Ukraine;17;442;0,9;27775;17,86;68;25;205;8,29;
Serbia;United Kingdom;10;442;0,9;29927;19,25;68;14,71;14558;0,07;
Serbia;United States;59;442;0,9;105420;67,79;68;86,76;64074;0,09;
Serbia;Uzbekistan;4;442;0,9;393;0,25;68;5,88;208;1,92;
Serbia;Vietnam;2;442;0,9;9827;6,32;68;2,94;4529;0,04;
Seychelles;Australia;2;51;0,1;9761;6,28;9;22,22;5051;0,04;
Seychelles;Belarus ;2;51;0,1;3044;1,96;9;22,22;1391;0,14;
Seychelles;Brazil;2;51;0,1;4834;3,11;9;22,22;2612;0,08;
Seychelles;Canada;1;51;0,1;25485;16,39;9;11,11;14440;0,01;
Seychelles;Egypt;2;51;0,1;17182;11,05;9;22,22;8809;0,02;
Seychelles;Germany ;2;51;0,1;7974;5,13;9;22,22;3700;0,05;
Seychelles;India;9;51;0,1;155501;100;9;100;80388;0,01;
Seychelles;Kyrgyzstan;1;51;0,1;1521;0,98;9;11,11;821;0,12;
Seychelles;Morocco;1;51;0,1;1112;0,72;9;11,11;517;0,19;
Seychelles;Pakistan;6;51;0,1;72899;46,88;9;66,67;36757;0,02;
Seychelles;Poland;1;51;0,1;7145;4,59;9;11,11;3520;0,03;
Seychelles;Romania;8;51;0,1;92390;59,41;9;88,89;48482;0,02;
Seychelles;Russian Federation;2;51;0,1;28357;18,24;9;22,22;14718;0,01;
Seychelles;Spain;1;51;0,1;4028;2,59;9;11,11;1948;0,05;
Seychelles;Sri Lanka;2;51;0,1;6306;4,06;9;22,22;2884;0,07;
Seychelles;Turkey;1;51;0,1;4827;3,1;9;11,11;2421;0,04;
Seychelles;Ukraine;6;51;0,1;27775;17,86;9;66,67;13875;0,04;
Seychelles;United Kingdom;1;51;0,1;29927;19,25;9;11,11;14558;0,01;
Seychelles;United States;1;51;0,1;105420;67,79;9;11,11;64074;0;
Sierra Leone;India;1;2;0;155501;100;1;100;80388;0;
Sierra Leone;Philippines;1;2;0;13478;8,67;1;100;7059;0,01;
Singapore;;18;5207;10,6;0;0;1417;1,27;1527;1,18;
Singapore;Albania ;3;5207;10,6;68;0,04;1417;0,21;37;8,11;
Singapore;Algeria;1;5207;10,6;202;0,13;1417;0,07;89;1,12;
Singapore;Argentina;66;5207;10,6;12720;8,18;1417;4,66;6839;0,97;
Singapore;Armenia;13;5207;10,6;1985;1,28;1417;0,92;1066;1,22;
Singapore;Aruba;1;5207;10,6;29;0,02;1417;0,07;15;6,67;
Singapore;Australia;48;5207;10,6;9761;6,28;1417;3,39;5051;0,95;
Singapore;Austria;7;5207;10,6;602;0,39;1417;0,49;257;2,72;
Singapore;Azerbaijan;4;5207;10,6;823;0,53;1417;0,28;5;80;
Singapore;Bangladesh;119;5207;10,6;17468;11,23;1417;8,4;8416;1,41;
Singapore;Belarus ;14;5207;10,6;3044;1,96;1417;0,99;1391;1,01;
Singapore;Belgium ;10;5207;10,6;1653;1,06;1417;0,71;853;1,17;
Singapore;Bosnia and Herzegowina;7;5207;10,6;1563;1,01;1417;0,49;800;0,88;
Singapore;Brazil;23;5207;10,6;4834;3,11;1417;1,62;2612;0,88;
Singapore;Bulgaria;42;5207;10,6;9387;6,04;1417;2,96;4695;0,89;
Singapore;Cambodia ;1;5207;10,6;189;0,12;1417;0,07;91;1,1;
Singapore;Cameroon ;1;5207;10,6;115;0,07;1417;0,07;46;2,17;
Singapore;Canada;140;5207;10,6;25485;16,39;1417;9,88;14440;0,97;
Singapore;Chile;2;5207;10,6;493;0,32;1417;0,14;293;0,68;
Singapore;China;109;5207;10,6;7801;5,02;1417;7,69;3871;2,82;
Singapore;Colombia;4;5207;10,6;889;0,57;1417;0,28;524;0,76;
Singapore;Croatia;18;5207;10,6;2778;1,79;1417;1,27;1364;1,32;
Singapore;Cyprus;4;5207;10,6;441;0,28;1417;0,28;291;1,37;
Singapore;Czech Republic;12;5207;10,6;1181;0,76;1417;0,85;692;1,73;
Singapore;Denmark;2;5207;10,6;702;0,45;1417;0,14;329;0,61;
Singapore;Dominican Republic;1;5207;10,6;752;0,48;1417;0,07;412;0,24;
Singapore;Ecuador;5;5207;10,6;790;0,51;1417;0,35;459;1,09;
Singapore;Egypt;102;5207;10,6;17182;11,05;1417;7,2;8809;1,16;
Singapore;Estonia;2;5207;10,6;800;0,51;1417;0,14;438;0,46;
Singapore;Fiji;4;5207;10,6;228;0,15;1417;0,28;94;4,26;
Singapore;Finland;10;5207;10,6;808;0,52;1417;0,71;318;3,14;
Singapore;Former Yugoslav Republic Of Macedonia;2;5207;10,6;1198;0,77;1417;0,14;624;0,32;
Singapore;France;19;5207;10,6;3513;2,26;1417;1,34;1601;1,19;
Singapore;Georgia;7;5207;10,6;503;0,32;1417;0,49;258;2,71;
Singapore;Germany ;39;5207;10,6;7974;5,13;1417;2,75;3700;1,05;
Singapore;Gibraltar;1;5207;10,6;61;0,04;1417;0,07;17;5,88;
Singapore;Greece;12;5207;10,6;1848;1,19;1417;0,85;844;1,42;
Singapore;Greenland;1;5207;10,6;3;0;1417;0,07;1;100;
Singapore;Guatemala;4;5207;10,6;187;0,12;1417;0,28;95;4,21;
Singapore;Hong Kong;22;5207;10,6;671;0,43;1417;1,55;418;5,26;
Singapore;Hungary;9;5207;10,6;1694;1,09;1417;0,64;775;1,16;
Singapore;India;1417;5207;10,6;155501;100;1417;100;4603;30,78;
Singapore;Indonesia;49;5207;10,6;7742;4,98;1417;3,46;103;47,57;
Singapore;Ireland;10;5207;10,6;925;0,59;1417;0,71;477;2,1;
Singapore;Israel;14;5207;10,6;3125;2,01;1417;0,99;1688;0,83;
Singapore;Italy;34;5207;10,6;3404;2,19;1417;2,4;1452;2,34;
Singapore;Jamaica;5;5207;10,6;233;0,15;1417;0,35;107;4,67;
Singapore;Japan;3;5207;10,6;705;0,45;1417;0,21;359;0,84;
Singapore;Jordan;6;5207;10,6;864;0,56;1417;0,42;438;1,37;
Singapore;Kazakhstan;1;5207;10,6;253;0,16;1417;0,07;147;0,68;
Singapore;Kenya;7;5207;10,6;1637;1,05;1417;0,49;818;0,86;
Singapore;Korea;1;5207;10,6;127;0,08;1417;0,07;59;1,69;
Singapore;Kuwait;1;5207;10,6;45;0,03;1417;0,07;15;6,67;
Singapore;Kyrgyzstan;7;5207;10,6;1521;0,98;1417;0,49;821;0,85;
Singapore;Latvia;4;5207;10,6;655;0,42;1417;0,28;255;1,57;
Singapore;Lebanon;5;5207;10,6;1029;0,66;1417;0,35;544;0,92;
Singapore;Lithuania;13;5207;10,6;1867;1,2;1417;0,92;958;1,36;
Singapore;Macau;1;5207;10,6;43;0,03;1417;0,07;25;4;
Singapore;Malaysia;30;5207;10,6;3160;2,03;1417;2,12;1760;1,7;
Singapore;Maldives;1;5207;10,6;29;0,02;1417;0,07;9;11,11;
Singapore;Mauritius;1;5207;10,6;223;0,14;1417;0,07;113;0,88;
Singapore;Mexico;17;5207;10,6;3465;2,23;1417;1,2;1732;0,98;
Singapore;Moldova;31;5207;10,6;3146;2,02;1417;2,19;1541;2,01;
Singapore;Mongolia;2;5207;10,6;331;0,21;1417;0,14;169;1,18;
Singapore;Morocco;9;5207;10,6;1112;0,72;1417;0,64;517;1,74;
Singapore;Nepal;6;5207;10,6;1861;1,2;1417;0,42;1018;0,59;
Singapore;Netherlands;8;5207;10,6;3487;2,24;1417;0,56;1579;0,51;
Singapore;New Zealand;5;5207;10,6;1482;0,95;1417;0,35;827;0,6;
Singapore;Nigeria;9;5207;10,6;909;0,58;1417;0,64;444;2,03;
Singapore;Norway;11;5207;10,6;779;0,5;1417;0,78;348;3,16;
Singapore;Pakistan;429;5207;10,6;72899;46,88;1417;30,28;36757;1,17;
Singapore;Peru;1;5207;10,6;919;0,59;1417;0,07;498;0,2;
Singapore;Philippines;88;5207;10,6;13478;8,67;1417;6,21;7059;1,25;
Singapore;Poland;22;5207;10,6;7145;4,59;1417;1,55;3520;0,63;
Singapore;Portugal;13;5207;10,6;2963;1,91;1417;0,92;1682;0,77;
Singapore;Qatar;2;5207;10,6;374;0,24;1417;0,14;103;1,94;
Singapore;Reunion;1;5207;10,6;2;0;1417;0,07;0;#DIV/0!;
Singapore;Romania;477;5207;10,6;92390;59,41;1417;33,66;48482;0,98;
Singapore;Russian Federation;192;5207;10,6;28357;18,24;1417;13,55;14718;1,3;
Singapore;Saudi Arabia;5;5207;10,6;645;0,41;1417;0,35;335;1,49;
Singapore;Serbia;58;5207;10,6;10957;7,05;1417;4,09;5747;1,01;
Singapore;Serbia + Montenegro (old);12;5207;10,6;699;0,45;1417;0,85;393;3,05;
Singapore;Singapore;38;5207;10,6;2154;1,39;1417;2,68;1182;3,21;
Singapore;Slovakia;3;5207;10,6;631;0,41;1417;0,21;306;0,98;
Singapore;South Africa;9;5207;10,6;2355;1,51;1417;0,64;1027;0,88;
Singapore;Spain;20;5207;10,6;4028;2,59;1417;1,41;1948;1,03;
Singapore;Sri Lanka;62;5207;10,6;6306;4,06;1417;4,38;2884;2,15;
Singapore;Sweden;13;5207;10,6;3060;1,97;1417;0,92;1468;0,89;
Singapore;Switzerland;3;5207;10,6;736;0,47;1417;0,21;333;0,9;
Singapore;Taiwan;1;5207;10,6;129;0,08;1417;0,07;61;1,64;
Singapore;Thailand;15;5207;10,6;1454;0,94;1417;1,06;717;2,09;
Singapore;Tunisia;16;5207;10,6;1968;1,27;1417;1,13;825;1,94;
Singapore;Turkey;30;5207;10,6;4827;3,1;1417;2,12;2421;1,24;
Singapore;Uganda;1;5207;10,6;40;0,03;1417;0,07;26;3,85;
Singapore;Ukraine;209;5207;10,6;27775;17,86;1417;14,75;13875;1,51;
Singapore;United Arab Emirates;15;5207;10,6;2335;1,5;1417;1,06;1226;1,22;
Singapore;United Kingdom;181;5207;10,6;29927;19,25;1417;12,77;14558;1,24;
Singapore;United States;600;5207;10,6;105420;67,79;1417;42,34;64074;0,94;
Singapore;Uruguay;6;5207;10,6;1500;0,96;1417;0,42;923;0,65;
Singapore;Venezuela;3;5207;10,6;613;0,39;1417;0,21;382;0,79;
Singapore;Vietnam;64;5207;10,6;9827;6,32;1417;4,52;4529;1,41;
Singapore;Zimbabwe;1;5207;10,6;92;0,06;1417;0,07;40;2,5;
Slovakia;Argentina;2;128;0,3;12720;8,18;22;9,09;6839;0,03;
Slovakia;Armenia;5;128;0,3;1985;1,28;22;22,73;1066;0,47;
Slovakia;Australia;2;128;0,3;9761;6,28;22;9,09;5051;0,04;
Slovakia;Belarus ;1;128;0,3;3044;1,96;22;4,55;1391;0,07;
Slovakia;Belgium ;1;128;0,3;1653;1,06;22;4,55;853;0,12;
Slovakia;Brazil;4;128;0,3;4834;3,11;22;18,18;2612;0,15;
Slovakia;Bulgaria;1;128;0,3;9387;6,04;22;4,55;4695;0,02;
Slovakia;Canada;1;128;0,3;25485;16,39;22;4,55;8500;0,01;
Slovakia;China;1;128;0,3;7801;5,02;22;4,55;123;0,81;
Slovakia;Croatia;2;128;0,3;2778;1,79;22;9,09;1364;0,15;
Slovakia;Czech Republic;3;128;0,3;1181;0,76;22;13,64;692;0,43;
Slovakia;Egypt;2;128;0,3;17182;11,05;22;9,09;8809;0,02;
Slovakia;Former Yugoslav Republic Of Macedonia;1;128;0,3;1198;0,77;22;4,55;624;0,16;
Slovakia;France;1;128;0,3;3513;2,26;22;4,55;1601;0,06;
Slovakia;India;16;128;0,3;155501;100;22;72,73;80388;0,02;
Slovakia;Lithuania;1;128;0,3;1867;1,2;22;4,55;958;0,1;
Slovakia;Malaysia;1;128;0,3;3160;2,03;22;4,55;1760;0,06;
Slovakia;Moldova;22;128;0,3;3146;2,02;22;100;1541;1,43;
Slovakia;Netherlands;2;128;0,3;3487;2,24;22;9,09;1579;0,13;
Slovakia;Pakistan;8;128;0,3;72899;46,88;22;36,36;36757;0,02;
Slovakia;Poland;1;128;0,3;7145;4,59;22;4,55;3520;0,03;
Slovakia;Romania;19;128;0,3;92390;59,41;22;86,36;48482;0,04;
Slovakia;Russian Federation;3;128;0,3;28357;18,24;22;13,64;14718;0,02;
Slovakia;Serbia;3;128;0,3;10957;7,05;22;13,64;5747;0,05;
Slovakia;Sri Lanka;1;128;0,3;6306;4,06;22;4,55;2884;0,03;
Slovakia;Sweden;1;128;0,3;3060;1,97;22;4,55;1468;0,07;
Slovakia;Tunisia;1;128;0,3;1968;1,27;22;4,55;825;0,12;
Slovakia;Ukraine;4;128;0,3;27775;17,86;22;18,18;13875;0,03;
Slovakia;United Kingdom;6;128;0,3;29927;19,25;22;27,27;14558;0,04;
Slovakia;United States;12;128;0,3;105420;67,79;22;54,55;64074;0,02;
Slovenia;Albania ;1;578;1,2;68;0,04;112;0,89;37;2,7;
Slovenia;Argentina;17;578;1,2;12720;8,18;112;15,18;6839;0,25;
Slovenia;Australia;4;578;1,2;9761;6,28;112;3,57;5051;0,08;
Slovenia;Bangladesh;10;578;1,2;17468;11,23;112;8,93;8416;0,12;
Slovenia;Belarus ;1;578;1,2;3044;1,96;112;0,89;1391;0,07;
Slovenia;Belize;76;578;1,2;80;0,05;112;67,86;76;100;
Slovenia;Bolivia;1;578;1,2;134;0,09;112;0,89;55;1,82;
Slovenia;Bosnia and Herzegowina;1;578;1,2;1563;1,01;112;0,89;800;0,13;
Slovenia;Brazil;2;578;1,2;4834;3,11;112;1,79;2612;0,08;
Slovenia;Bulgaria;4;578;1,2;9387;6,04;112;3,57;4695;0,09;
Slovenia;Canada;16;578;1,2;25485;16,39;112;14,29;14440;0,11;
Slovenia;China;7;578;1,2;7801;5,02;112;6,25;123;5,69;
Slovenia;Croatia;4;578;1,2;2778;1,79;112;3,57;280;1,43;
Slovenia;Egypt;1;578;1,2;17182;11,05;112;0,89;8809;0,01;
Slovenia;Finland;1;578;1,2;808;0,52;112;0,89;318;0,31;
Slovenia;France;2;578;1,2;3513;2,26;112;1,79;1601;0,12;
Slovenia;Germany ;5;578;1,2;7974;5,13;112;4,46;3700;0,14;
Slovenia;Hungary;1;578;1,2;1694;1,09;112;0,89;775;0,13;
Slovenia;India;112;578;1,2;155501;100;112;100;80388;0,14;
Slovenia;Indonesia;4;578;1,2;7742;4,98;112;3,57;4116;0,1;
Slovenia;Ireland;3;578;1,2;925;0,59;112;2,68;477;0,63;
Slovenia;Israel;1;578;1,2;3125;2,01;112;0,89;1688;0,06;
Slovenia;Italy;2;578;1,2;3404;2,19;112;1,79;1452;0,14;
Slovenia;Japan;1;578;1,2;705;0,45;112;0,89;359;0,28;
Slovenia;Lithuania;5;578;1,2;1867;1,2;112;4,46;958;0,52;
Slovenia;Malaysia;3;578;1,2;3160;2,03;112;2,68;1760;0,17;
Slovenia;Malta;2;578;1,2;393;0,25;112;1,79;190;1,05;
Slovenia;Mexico;2;578;1,2;3465;2,23;112;1,79;1732;0,12;
Slovenia;Moldova;2;578;1,2;3146;2,02;112;1,79;1541;0,13;
Slovenia;Netherlands;5;578;1,2;3487;2,24;112;4,46;1579;0,32;
Slovenia;New Zealand;5;578;1,2;1482;0,95;112;4,46;827;0,6;
Slovenia;Nigeria;1;578;1,2;909;0,58;112;0,89;444;0,23;
Slovenia;Pakistan;40;578;1,2;72899;46,88;112;35,71;36757;0,11;
Slovenia;Philippines;2;578;1,2;13478;8,67;112;1,79;7059;0,03;
Slovenia;Poland;7;578;1,2;7145;4,59;112;6,25;3520;0,2;
Slovenia;Portugal;3;578;1,2;2963;1,91;112;2,68;1682;0,18;
Slovenia;Romania;50;578;1,2;92390;59,41;112;44,64;48482;0,1;
Slovenia;Russian Federation;19;578;1,2;28357;18,24;112;16,96;14718;0,13;
Slovenia;Saudi Arabia;1;578;1,2;645;0,41;112;0,89;335;0,3;
Slovenia;Serbia;42;578;1,2;10957;7,05;112;37,5;5747;0,73;
Slovenia;Serbia + Montenegro (old);1;578;1,2;699;0,45;112;0,89;393;0,25;
Slovenia;Slovenia;9;578;1,2;630;0,41;112;8,04;332;2,71;
Slovenia;South Africa;3;578;1,2;2355;1,51;112;2,68;1027;0,29;
Slovenia;Spain;2;578;1,2;4028;2,59;112;1,79;1948;0,1;
Slovenia;Sri Lanka;10;578;1,2;6306;4,06;112;8,93;2884;0,35;
Slovenia;Tunisia;3;578;1,2;1968;1,27;112;2,68;48;6,25;
Slovenia;Ukraine;13;578;1,2;27775;17,86;112;11,61;205;6,34;
Slovenia;United Kingdom;12;578;1,2;29927;19,25;112;10,71;14558;0,08;
Slovenia;United States;44;578;1,2;105420;67,79;112;39,29;64074;0,07;
Slovenia;Uzbekistan;1;578;1,2;393;0,25;112;0,89;208;0,48;
Slovenia;Vietnam;14;578;1,2;9827;6,32;112;12,5;4529;0,31;
South Africa;;5;3699;7,5;0;0;806;0,62;1527;0,33;
South Africa;Argentina;42;3699;7,5;12720;8,18;806;5,21;6839;0,61;
South Africa;Armenia;4;3699;7,5;1985;1,28;806;0,5;1066;0,38;
South Africa;Australia;24;3699;7,5;9761;6,28;806;2,98;5051;0,48;
South Africa;Austria;4;3699;7,5;602;0,39;806;0,5;279;1,43;
South Africa;Azerbaijan;1;3699;7,5;823;0,53;806;0,12;493;0,2;
South Africa;Bangladesh;107;3699;7,5;17468;11,23;806;13,28;8416;1,27;
South Africa;Belarus ;52;3699;7,5;3044;1,96;806;6,45;1391;3,74;
South Africa;Belgium ;10;3699;7,5;1653;1,06;806;1,24;853;1,17;
South Africa;Bosnia and Herzegowina;9;3699;7,5;1563;1,01;806;1,12;800;1,13;
South Africa;Brazil;19;3699;7,5;4834;3,11;806;2,36;2612;0,73;
South Africa;Bulgaria;37;3699;7,5;9387;6,04;806;4,59;4695;0,79;
South Africa;Canada;75;3699;7,5;25485;16,39;806;9,31;14440;0,52;
South Africa;Chile;3;3699;7,5;493;0,32;806;0,37;293;1,02;
South Africa;China;26;3699;7,5;7801;5,02;806;3,23;3871;0,67;
South Africa;Colombia;2;3699;7,5;889;0,57;806;0,25;524;0,38;
South Africa;Costa Rica;2;3699;7,5;180;0,12;806;0,25;106;1,89;
South Africa;Croatia;11;3699;7,5;2778;1,79;806;1,36;1364;0,81;
South Africa;Cyprus;1;3699;7,5;441;0,28;806;0,12;291;0,34;
South Africa;Czech Republic;3;3699;7,5;1181;0,76;806;0,37;692;0,43;
South Africa;Dominican Republic;4;3699;7,5;752;0,48;806;0,5;412;0,97;
South Africa;Ecuador;2;3699;7,5;790;0,51;806;0,25;459;0,44;
South Africa;Egypt;82;3699;7,5;17182;11,05;806;10,17;8809;0,93;
South Africa;El Salvador;1;3699;7,5;260;0,17;806;0,12;155;0,65;
South Africa;Estonia;2;3699;7,5;800;0,51;806;0,25;438;0,46;
South Africa;Fiji;2;3699;7,5;228;0,15;806;0,25;94;2,13;
South Africa;Finland;7;3699;7,5;808;0,52;806;0,87;318;2,2;
South Africa;France;11;3699;7,5;3513;2,26;806;1,36;1601;0,69;
South Africa;Georgia;2;3699;7,5;503;0,32;806;0,25;3;66,67;
South Africa;Germany ;22;3699;7,5;7974;5,13;806;2,73;1982;1,11;
South Africa;Ghana;1;3699;7,5;95;0,06;806;0,12;53;1,89;
South Africa;Greece;8;3699;7,5;1848;1,19;806;0,99;844;0,95;
South Africa;Haiti;1;3699;7,5;17;0,01;806;0,12;15;6,67;
South Africa;Hong Kong;1;3699;7,5;671;0,43;806;0,12;418;0,24;
South Africa;Hungary;28;3699;7,5;1694;1,09;806;3,47;775;3,61;
South Africa;India;806;3699;7,5;155501;100;806;100;80388;1;
South Africa;Indonesia;41;3699;7,5;7742;4,98;806;5,09;4116;1;
South Africa;Ireland;1;3699;7,5;925;0,59;806;0,12;477;0,21;
South Africa;Israel;17;3699;7,5;3125;2,01;806;2,11;1688;1,01;
South Africa;Italy;20;3699;7,5;3404;2,19;806;2,48;1452;1,38;
South Africa;Japan;4;3699;7,5;705;0,45;806;0,5;359;1,11;
South Africa;Jordan;10;3699;7,5;864;0,56;806;1,24;438;2,28;
South Africa;Kenya;6;3699;7,5;1637;1,05;806;0,74;818;0,73;
South Africa;Kyrgyzstan;5;3699;7,5;1521;0,98;806;0,62;821;0,61;
South Africa;Latvia;1;3699;7,5;655;0,42;806;0,12;255;0,39;
South Africa;Lebanon;4;3699;7,5;1029;0,66;806;0,5;544;0,74;
South Africa;Lithuania;5;3699;7,5;1867;1,2;806;0,62;958;0,52;
